Samples	Signature A
Sample1070	0.00E+00
Sample1071	0.00E+00
Sample1072	0.00E+00
Sample1073	0.00E+00
Sample1074	0.00E+00
Sample1075	0.00E+00
Sample1076	0.00E+00
Sample1077	0.00E+00
Sample1078	0.00E+00
Sample1079	0.00E+00
Sample1080	0.00E+00
Sample1081	0.00E+00
Sample1082	0.00E+00
Sample1083	0.00E+00
Sample1084	0.00E+00
Sample1085	0.00E+00
Sample1086	0.00E+00
Sample1087	0.00E+00
Sample1088	0.00E+00
Sample1089	0.00E+00
Sample1090	0.00E+00
Sample1091	0.00E+00
Sample1092	0.00E+00
Sample1093	0.00E+00
Sample1094	0.00E+00
Sample1095	0.00E+00
Sample1096	0.00E+00
Sample1097	0.00E+00
Sample1098	0.00E+00
Sample1099	0.00E+00
Sample1100	0.00E+00
Sample1101	0.00E+00
Sample1102	0.00E+00
Sample1103	0.00E+00
Sample1104	0.00E+00
Sample1105	0.00E+00
Sample1106	0.00E+00
Sample1107	0.00E+00
Sample1108	0.00E+00
Sample1109	0.00E+00
Sample1110	0.00E+00
Sample1111	0.00E+00
Sample1112	0.00E+00
Sample1113	0.00E+00
Sample1114	0.00E+00
Sample1115	0.00E+00
Sample1116	0.00E+00
Sample1117	0.00E+00
Sample1118	0.00E+00
Sample1119	0.00E+00
Sample1120	0.00E+00
Sample1121	0.00E+00
Sample1122	0.00E+00
Sample1123	0.00E+00
Sample1124	0.00E+00
Sample1125	0.00E+00
Sample1126	0.00E+00
Sample1127	0.00E+00
Sample1128	0.00E+00
Sample1129	0.00E+00
Sample1130	0.00E+00
Sample1131	0.00E+00
Sample1132	0.00E+00
Sample1133	0.00E+00
Sample1134	0.00E+00
Sample1135	0.00E+00
Sample1136	0.00E+00
Sample1137	0.00E+00
Sample1138	0.00E+00
Sample1139	0.00E+00
Sample1140	0.00E+00
Sample1141	0.00E+00
Sample1142	0.00E+00
Sample1143	0.00E+00
Sample1144	0.00E+00
Sample1145	0.00E+00
Sample1146	0.00E+00
Sample1147	0.00E+00
Sample1148	0.00E+00
Sample1149	0.00E+00
Sample1150	0.00E+00
