Samples	Signature A	Signature B	Signature C	Signature D
Sample526	757	222	0	0
Sample527	340	285	0	383
Sample528	410	0	562	0
Sample529	755	224	0	0
Sample530	355	357	273	0
Sample531	680	194	0	118
Sample532	557	0	0	456
Sample533	704	0	275	0
Sample534	321	645	0	0
Sample535	716	308	0	0
Sample536	655	345	0	0
Sample537	755	237	0	0
Sample538	722	270	0	0
Sample539	404	0	318	292
Sample540	319	371	0	325
Sample541	674	318	0	0
Sample542	197	777	0	0
Sample543	662	0	201	137
Sample544	761	0	219	0
Sample545	398	235	0	393
Sample546	418	616	0	0
Sample547	821	0	0	158
Sample548	360	0	524	142
Sample549	0	445	555	0
Sample550	869	0	0	119
Sample551	760	219	0	0
Sample552	760	240	0	0
Sample553	754	0	230	0
Sample554	767	0	233	0
Sample555	335	650	0	0
Sample556	771	249	0	0
Sample557	736	251	0	0
Sample558	850	0	0	135
Sample559	678	322	0	0
Sample560	748	0	0	229
Sample561	190	0	432	377
Sample562	877	0	0	131
Sample563	256	728	0	0
Sample564	859	0	0	120
Sample565	746	0	268	0
Sample566	771	248	0	0
Sample567	843	0	0	130
Sample568	0	0	692	277
Sample569	445	549	0	0
Sample570	782	0	210	0
Sample571	985	0	0	0
Sample572	523	228	0	221
Sample573	331	273	420	0
Sample574	719	261	0	0
Sample575	356	0	220	441
Sample576	190	0	432	377
Sample577	818	0	0	182
Sample578	721	293	0	0
Sample579	319	664	0	0
Sample580	850	0	0	131
Sample581	783	0	225	0
Sample582	346	354	0	304
Sample583	850	0	0	142
Sample584	322	645	0	0
Sample585	190	0	432	377
Sample586	846	0	0	154
Sample587	0	720	0	305
Sample588	786	206	0	0
Sample589	413	601	0	0
Sample590	356	618	0	0
Sample591	751	229	0	0
Sample592	328	707	0	0
Sample593	0	475	329	168
Sample594	572	415	0	0
Sample595	665	0	191	152
Sample596	383	333	0	306
Sample597	0	558	254	196
Sample598	618	273	0	144
Sample599	779	213	0	0
Sample600	392	226	0	387
Sample601	870	0	0	122
Sample602	608	0	242	158
Sample603	392	442	0	174
Sample604	797	217	0	0
Sample605	732	284	0	0
Sample606	818	0	0	200
Sample607	651	223	0	153
Sample608	787	197	0	0
Sample609	744	241	0	0
Sample610	243	565	0	206
Sample611	746	262	0	0
Sample612	516	266	0	199
Sample613	740	260	0	0
Sample614	326	343	0	338
Sample615	844	0	0	141
Sample616	721	258	0	0
Sample617	0	796	0	219
Sample618	777	223	0	0
Sample619	798	191	0	0
Sample620	869	0	0	111
Sample621	734	258	0	0
Sample622	773	219	0	0
Sample623	604	238	0	187
Sample624	250	722	0	0
Sample625	466	337	0	191
Sample626	685	339	0	0
Sample627	434	249	0	337
Sample628	452	342	0	223
Sample629	737	271	0	0
Sample630	459	0	504	0
Sample631	725	261	0	0
Sample632	744	264	0	0
Sample633	371	597	0	0
Sample634	329	645	0	0
Sample635	850	0	0	135
Sample636	796	192	0	0
Sample637	851	0	0	164
Sample638	763	237	0	0
Sample639	670	0	193	115
Sample640	428	552	0	0
Sample641	736	256	0	0
Sample642	778	211	0	0
Sample643	399	276	0	339
Sample644	456	572	0	0
Sample645	852	0	0	129
Sample646	205	603	0	205
Sample647	309	676	0	0
Sample648	0	612	196	194
Sample649	700	300	0	0
Sample650	685	323	0	0
Sample651	837	0	0	155
Sample652	728	290	0	0
Sample653	725	0	267	0
Sample654	455	572	0	0
