Iteration	L1	L1 %	L2	L2 %	KL Divergence
340	1.867	14.133	0.344	16.914	0.02
341	1.869	14.128	0.347	16.998	0.02
342	1.875	14.198	0.348	17.13	0.019
343	1.923	14.563	0.347	16.995	0.021
344	1.817	13.744	0.334	16.29	0.019
345	1.855	14.047	0.34	16.774	0.019
346	1.88	14.201	0.349	17.047	0.019
347	1.83	13.828	0.342	16.719	0.019
348	1.82	13.778	0.338	16.566	0.019
349	1.905	14.419	0.354	17.372	0.021
350	1.883	14.298	0.352	17.408	0.02
351	1.917	14.524	0.356	17.5	0.022
352	1.812	13.713	0.332	16.288	0.02
353	1.83	13.829	0.342	16.762	0.019
354	1.852	14.021	0.343	16.873	0.02
355	1.96	14.855	0.363	17.778	0.021
356	1.783	13.505	0.333	16.328	0.018
357	1.873	14.156	0.339	16.613	0.02
358	1.874	14.166	0.356	17.336	0.02
359	1.916	14.55	0.356	17.588	0.021
360	1.862	14.122	0.349	16.961	0.02
361	1.864	14.096	0.34	16.621	0.02
362	1.915	14.493	0.352	17.268	0.02
363	1.832	13.88	0.335	16.328	0.019
364	1.878	14.228	0.35	17.162	0.02
365	1.91	14.43	0.352	17.359	0.02
366	1.816	13.777	0.339	16.596	0.019
367	1.833	13.88	0.344	16.809	0.019
368	1.93	14.618	0.354	17.299	0.021
369	1.92	14.57	0.349	17.173	0.021
370	1.916	14.496	0.351	17.169	0.02
371	1.971	14.953	0.362	17.711	0.022
372	1.786	13.503	0.333	16.237	0.018
373	1.847	13.994	0.349	17.098	0.019
374	1.863	14.098	0.341	16.637	0.019
375	1.893	14.322	0.359	17.653	0.02
376	1.798	13.643	0.332	16.277	0.019
377	1.882	14.246	0.351	17.024	0.02
378	1.896	14.393	0.348	17.114	0.02
379	1.874	14.214	0.348	17.123	0.02
380	1.9	14.399	0.352	17.2	0.02
381	1.858	14.051	0.348	17.174	0.019
382	1.799	13.631	0.338	16.521	0.019
383	1.852	14.014	0.337	16.506	0.019
384	1.903	14.404	0.351	17.058	0.02
385	1.823	13.845	0.342	16.798	0.02
386	1.895	14.329	0.352	17.168	0.02
387	1.854	14.022	0.35	17.148	0.02
388	1.896	14.276	0.356	17.339	0.02
389	1.876	14.193	0.357	17.393	0.02
390	1.844	13.952	0.353	17.196	0.02
391	1.811	13.698	0.345	16.987	0.02
392	1.852	14.027	0.344	16.806	0.019
393	1.89	14.308	0.361	17.559	0.02
394	1.789	13.533	0.342	16.734	0.019
395	1.838	13.882	0.346	16.86	0.019
396	1.855	14.039	0.342	16.752	0.019
397	1.892	14.348	0.361	17.618	0.02
398	1.885	14.264	0.353	17.243	0.02
399	1.857	14.058	0.349	17.036	0.02
400	1.813	13.744	0.338	16.604	0.018
401	1.855	14.027	0.348	16.89	0.019
402	1.911	14.443	0.353	17.226	0.02
403	1.941	14.69	0.361	17.587	0.021
404	1.854	14.059	0.357	17.522	0.021
405	1.852	14.016	0.344	16.773	0.019
406	1.829	13.875	0.339	16.714	0.019
407	1.84	13.942	0.348	17.138	0.02
408	1.848	13.993	0.344	16.842	0.02
409	1.949	14.776	0.37	18.058	0.022
410	1.768	13.383	0.335	16.373	0.018
411	1.877	14.217	0.351	17.209	0.02
412	1.878	14.259	0.348	16.942	0.02
413	1.814	13.715	0.342	16.729	0.019
414	1.912	14.457	0.354	17.354	0.02
415	1.843	13.94	0.34	16.536	0.019
416	1.879	14.216	0.355	17.405	0.02
417	1.859	14.065	0.348	17.012	0.019
418	1.907	14.418	0.351	17.135	0.02
419	1.884	14.273	0.357	17.467	0.021
420	1.946	14.786	0.358	17.616	0.021
421	1.884	14.253	0.355	17.348	0.02
422	1.901	14.435	0.346	16.983	0.021
423	1.867	14.117	0.344	16.825	0.02
424	1.909	14.457	0.361	17.591	0.021
425	1.893	14.338	0.354	17.332	0.02
426	1.877	14.167	0.355	17.32	0.02
427	1.883	14.261	0.352	17.226	0.021
428	1.861	14.068	0.353	17.152	0.02
429	1.866	14.102	0.347	17.091	0.02
430	1.855	14.076	0.34	16.784	0.02
431	1.838	13.901	0.344	16.701	0.019
432	1.848	13.957	0.346	16.925	0.02
433	1.853	14.031	0.347	16.976	0.02
434	1.872	14.193	0.351	17.246	0.02
435	1.822	13.775	0.344	16.902	0.019
436	1.926	14.544	0.362	17.639	0.02
437	1.87	14.142	0.339	16.634	0.019
438	1.843	13.958	0.336	16.467	0.02
439	1.817	13.778	0.344	16.845	0.02
440	1.854	14.034	0.34	16.704	0.02
441	1.815	13.728	0.336	16.611	0.019
442	1.863	14.084	0.355	17.243	0.02
443	1.853	14.025	0.345	17.009	0.019
444	1.877	14.217	0.342	16.762	0.021
445	1.923	14.567	0.358	17.518	0.021
446	1.814	13.728	0.334	16.382	0.018
447	1.875	14.194	0.348	17.152	0.02
448	1.856	14.055	0.35	17.343	0.02
449	1.847	13.963	0.342	16.659	0.019
450	1.821	13.755	0.338	16.608	0.019
451	1.842	13.872	0.344	16.738	0.02
452	1.881	14.238	0.352	17.282	0.02
453	1.865	14.112	0.353	17.16	0.02
454	1.891	14.308	0.348	17.131	0.02
455	1.88	14.264	0.35	17.161	0.02
456	1.842	13.944	0.349	17.147	0.019
457	1.837	13.898	0.34	16.644	0.019
458	1.902	14.414	0.351	17.151	0.02
459	1.884	14.266	0.345	17.062	0.02
460	1.832	13.83	0.341	16.71	0.019
461	1.84	13.919	0.343	16.849	0.02
462	1.871	14.123	0.347	16.798	0.019
463	1.892	14.315	0.353	17.428	0.02
464	1.886	14.246	0.345	16.837	0.019
465	1.873	14.143	0.347	16.949	0.02
466	1.784	13.511	0.334	16.422	0.019
467	1.901	14.392	0.354	17.372	0.02
468	1.851	14.001	0.352	17.145	0.02
469	1.933	14.642	0.358	17.562	0.021
470	1.943	14.731	0.358	17.629	0.021
471	1.864	14.108	0.343	16.858	0.019
472	1.851	14.029	0.348	17.126	0.02
473	1.957	14.812	0.376	18.323	0.022
474	1.789	13.534	0.335	16.426	0.019
475	1.813	13.704	0.34	16.722	0.019
476	1.813	13.709	0.34	16.612	0.019
477	1.859	14.036	0.346	16.795	0.02
478	1.851	13.997	0.349	17.063	0.02
