Iteration	L1	L1 %	L2	L2 %	KL Divergence
594	2.486	18.734	0.468	22.971	0.032
595	2.494	18.842	0.456	22.39	0.032
596	2.489	18.793	0.455	22.637	0.033
597	2.456	18.515	0.459	22.577	0.032
598	2.437	18.358	0.458	22.591	0.03
599	2.501	18.834	0.457	22.472	0.032
600	2.494	18.824	0.462	22.633	0.032
601	2.473	18.643	0.453	22.402	0.031
602	2.497	18.843	0.459	22.559	0.032
603	2.514	18.967	0.464	22.724	0.032
604	2.554	19.264	0.465	22.69	0.033
605	2.467	18.591	0.446	21.982	0.031
606	2.525	19.04	0.469	22.933	0.033
607	2.442	18.411	0.45	22.423	0.031
608	2.443	18.376	0.454	22.22	0.031
609	2.495	18.756	0.466	22.997	0.033
610	2.486	18.749	0.461	22.743	0.032
611	2.48	18.678	0.458	22.514	0.031
612	2.45	18.432	0.456	22.499	0.03
613	2.448	18.433	0.457	22.413	0.031
614	2.461	18.571	0.45	22.083	0.031
615	2.441	18.4	0.452	22.4	0.031
616	2.491	18.794	0.458	22.527	0.032
617	2.451	18.468	0.455	22.417	0.031
618	2.447	18.435	0.457	22.332	0.03
619	2.474	18.61	0.466	22.803	0.032
620	2.499	18.838	0.455	22.403	0.031
621	2.49	18.728	0.462	22.505	0.031
622	2.442	18.437	0.45	22.333	0.031
623	2.496	18.815	0.456	22.264	0.032
624	2.458	18.542	0.45	22.299	0.031
625	2.424	18.264	0.448	21.999	0.03
626	2.406	18.084	0.44	21.683	0.03
627	2.467	18.597	0.453	22.305	0.031
628	2.437	18.386	0.449	22.109	0.031
629	2.521	18.981	0.476	23.223	0.033
