Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F
Sample225	1.18E+01	1.37E+01	1.10E+01	1.35E+01	1.60E+01	8.56E+00
Sample226	1.77E+01	1.19E+01	2.23E+01	2.17E+01	1.51E+01	1.76E+01
Sample227	1.78E+01	1.10E+01	1.89E+01	1.70E+01	1.83E+01	1.92E+01
Sample228	1.47E+01	9.19E+00	1.65E+01	2.63E+01	1.41E+01	1.89E+01
Sample229	3.24E+01	3.38E+01	2.05E+01	1.97E+01	2.77E+01	3.26E+01
Sample230	1.43E+01	8.62E+00	1.75E+01	2.17E+01	2.10E+01	2.72E+01
Sample231	4.81E+01	2.80E+01	5.93E+01	1.39E+01	5.29E+01	1.03E+01
Sample232	1.33E+01	1.50E+01	2.20E+01	2.73E+01	1.79E+01	1.80E+01
Sample233	2.76E+01	5.40E+00	1.37E+01	2.43E+01	1.62E+01	1.88E+01
Sample234	9.48E+00	1.37E+01	1.90E+01	9.83E+00	1.41E+01	8.55E+00
Sample235	2.28E+01	1.67E+01	9.43E+00	1.24E+01	1.21E+01	1.81E+01
Sample236	1.82E+01	9.56E+00	3.46E+01	2.84E+01	2.58E+01	2.20E+01
Sample237	4.38E+01	6.66E+00	1.32E+01	3.04E+01	1.20E+01	2.24E+01
Sample238	1.85E+01	1.69E+01	1.35E+01	2.37E+01	2.30E+01	2.60E+01
Sample239	1.29E+01	6.82E+00	2.23E+01	2.05E+01	1.48E+01	1.89E+01
Sample240	2.71E+01	1.17E+01	1.15E+01	1.22E+01	1.37E+01	1.62E+01
Sample241	2.01E+01	1.25E+01	1.71E+01	1.49E+01	1.54E+01	1.99E+01
Sample242	2.61E+01	1.74E+01	2.11E+01	2.06E+01	2.51E+01	1.04E+01
Sample243	4.64E+01	6.83E+00	4.44E+01	2.86E+01	5.67E+01	1.42E+01
Sample244	2.16E+01	9.57E+00	1.45E+01	1.01E+01	1.85E+01	1.75E+01
Sample245	1.22E+01	9.88E+00	2.12E+01	2.02E+01	1.57E+01	2.54E+01
Sample246	1.11E+01	7.87E+00	1.42E+01	1.78E+01	1.76E+01	1.07E+01
Sample247	1.87E+01	1.40E+01	1.46E+01	9.97E+00	1.14E+01	2.01E+01
Sample248	1.42E+01	1.77E+01	8.54E+00	1.66E+01	1.19E+01	2.18E+01
Sample249	8.73E+00	1.05E+01	2.20E+01	1.03E+01	1.38E+01	1.70E+01
Sample250	3.89E+01	1.64E+01	4.88E+01	2.30E+01	5.68E+01	1.76E+01
Sample251	3.52E+01	3.52E+01	1.36E+01	1.42E+01	2.77E+01	2.29E+01
Sample252	1.59E+01	1.32E+01	2.62E+01	1.58E+01	1.63E+01	2.09E+01
Sample253	2.28E+01	1.21E+01	2.01E+01	1.19E+01	9.46E+00	2.12E+01
Sample254	1.57E+01	9.49E+00	1.86E+01	1.99E+01	1.61E+01	9.44E+00
Sample255	3.89E+01	1.47E+01	3.50E+01	2.00E+01	4.85E+01	1.33E+01
Sample256	4.61E+01	1.12E+01	8.75E+00	2.82E+01	1.11E+01	2.22E+01
Sample257	1.98E+01	7.09E+00	1.63E+01	2.47E+01	1.49E+01	2.97E+01
Sample258	1.39E+01	1.03E+01	1.85E+01	1.75E+01	1.75E+01	2.10E+01
Sample259	1.01E+01	8.54E+00	1.64E+01	2.18E+01	1.59E+01	2.32E+01
Sample260	8.28E+00	1.53E+01	1.57E+01	3.76E+01	2.15E+01	2.02E+01
Sample261	3.15E+01	3.37E+01	1.52E+01	1.21E+01	3.31E+01	1.67E+01
Sample262	4.89E+01	1.47E+01	5.41E+01	3.10E+01	6.27E+01	2.33E+01
Sample263	4.14E+01	1.46E+01	4.08E+01	3.62E+01	5.75E+01	1.77E+01
Sample264	2.15E+01	1.07E+01	1.73E+01	2.10E+01	1.22E+01	1.82E+01
Sample265	3.97E+01	3.06E+01	1.57E+01	1.70E+01	4.79E+01	3.61E+01
Sample266	1.57E+01	6.11E+00	1.82E+01	2.20E+01	1.08E+01	1.40E+01
Sample267	1.28E+01	1.13E+01	1.80E+01	2.40E+01	1.66E+01	2.64E+01
Sample268	1.99E+01	7.85E+00	9.41E+00	2.43E+01	1.03E+01	2.49E+01
Sample269	1.48E+01	2.41E+01	2.80E+01	2.43E+01	1.57E+01	1.02E+01
Sample270	1.06E+01	3.77E+01	1.15E+01	6.57E+01	7.63E+01	2.05E+01
Sample271	1.30E+01	9.55E+00	2.03E+01	2.18E+01	1.85E+01	1.88E+01
Sample272	2.42E+01	3.65E+01	1.33E+01	2.00E+01	3.48E+01	2.45E+01
Sample273	3.77E+01	1.04E+01	3.40E+01	3.29E+01	4.72E+01	2.46E+01
Sample274	1.59E+01	8.48E+00	9.91E+00	1.28E+01	9.92E+00	2.01E+01
Sample275	1.44E+01	1.33E+01	1.59E+01	1.69E+01	2.20E+01	1.01E+01
Sample276	4.05E+01	1.01E+01	5.34E+01	1.88E+01	4.72E+01	1.73E+01
Sample277	1.45E+01	1.11E+01	2.29E+01	2.06E+01	1.17E+01	1.63E+01
Sample278	2.22E+01	7.45E+00	1.34E+01	1.24E+01	1.03E+01	2.04E+01
Sample279	1.26E+01	8.77E+00	1.67E+01	1.48E+01	1.53E+01	1.66E+01
Sample280	1.07E+01	1.10E+01	2.37E+01	1.81E+01	1.37E+01	1.58E+01
Sample281	1.17E+01	1.30E+01	2.11E+01	1.98E+01	9.33E+00	1.57E+01
Sample282	3.00E+01	7.64E+00	3.92E+01	3.00E+01	4.20E+01	1.48E+01
Sample283	2.51E+01	8.74E+00	2.68E+01	1.80E+01	1.53E+01	2.90E+01
Sample284	4.06E+01	1.85E+01	5.40E+01	3.20E+01	5.15E+01	1.47E+01
Sample285	2.58E+01	2.17E+01	1.35E+01	2.43E+01	2.99E+01	2.01E+01
Sample286	5.17E+01	3.20E+01	5.79E+01	1.93E+01	3.45E+01	1.48E+01
Sample287	2.11E+01	1.11E+01	1.63E+01	1.98E+01	1.05E+01	2.26E+01
Sample288	1.58E+01	1.50E+01	2.76E+01	1.95E+01	1.53E+01	1.22E+01
Sample289	2.33E+01	1.11E+01	1.67E+01	2.34E+01	8.87E+00	1.22E+01
Sample290	4.30E+01	1.36E+01	5.02E+01	3.47E+01	5.16E+01	2.06E+01
Sample291	4.57E+01	1.31E+01	5.35E+01	3.58E+01	6.08E+01	2.12E+01
Sample292	1.35E+01	6.40E+00	2.18E+01	1.49E+01	1.40E+01	2.01E+01
Sample293	3.60E+01	3.51E+01	1.96E+01	2.38E+01	3.63E+01	3.17E+01
Sample294	1.47E+01	5.07E+00	1.68E+01	1.29E+01	1.10E+01	1.89E+01
