Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample515	1000	0.981	93.097	9.31%	21.873	19.579%	0.0165
Sample516	1008	0.968	220.605	21.885%	31.461	25.17%	0.038
Sample517	1008	0.989	84.004	8.334%	16.943	14.901%	0.0105
Sample518	985	0.989	72.983	7.409%	16.486	15.029%	0.0118
Sample519	1000	0.977	109.022	10.902%	24.123	21.269%	0.0183
Sample520	992	0.991	69.129	6.969%	14.969	13.504%	0.0095
Sample521	992	0.972	108.014	10.889%	26.187	23.624%	0.0239
Sample522	979	0.965	184.478	18.844%	30.718	26.213%	0.0337
Sample523	979	0.981	140.028	14.303%	23.309	19.688%	0.0221
Sample524	1008	0.975	120.541	11.958%	25.748	22.424%	0.0225
Sample525	1008	0.956	262.82	26.073%	35.527	29.314%	0.0492
Sample526	979	0.969	127.433	13.017%	27.488	24.875%	0.0283
Sample527	1008	0.956	256.747	25.471%	37.095	29.315%	0.0494
Sample528	972	0.941	187.203	19.26%	37.112	33.938%	0.0491
Sample529	979	0.988	79.572	8.128%	16.961	15.349%	0.0113
Sample530	985	0.967	166.419	16.895%	28.596	25.796%	0.029
Sample531	992	0.988	86.985	8.769%	17.676	15.782%	0.0098
Sample532	1013	0.944	269.898	26.643%	42.18	33.188%	0.0591
Sample533	979	0.971	110.804	11.318%	26.112	24.175%	0.0253
Sample534	966	0.977	154.97	16.042%	25.062	21.302%	0.0235
Sample535	1024	0.978	123.151	12.026%	24.715	20.845%	0.0197
Sample536	1000	0.965	167.878	16.788%	29.731	26.478%	0.0324
Sample537	992	0.989	66.933	6.747%	16.387	14.783%	0.0096
Sample538	992	0.978	109.743	11.063%	23.3	20.698%	0.0193
Sample539	1014	0.92	286.516	28.256%	46.152	39.715%	0.0738
Sample540	1015	0.963	249.5	24.581%	33.617	26.846%	0.0464
Sample541	992	0.982	107.729	10.86%	21.044	18.789%	0.0166
Sample542	974	0.979	155.381	15.953%	24.436	20.273%	0.0237
Sample543	1000	0.991	73.775	7.378%	15.315	13.709%	0.0095
Sample544	980	0.972	106.032	10.82%	25.774	23.415%	0.0253
Sample545	1026	0.949	278.779	27.171%	41.52	31.843%	0.0528
Sample546	1034	0.984	140.798	13.617%	21.203	17.938%	0.0171
Sample547	979	0.974	99.611	10.175%	24.977	22.485%	0.0176
Sample548	1026	0.939	241.839	23.571%	39.224	35.585%	0.052
Sample549	1000	0.933	249.764	24.976%	41.749	36.448%	0.0578
Sample550	988	0.987	81.84	8.283%	17.895	16.037%	0.0117
Sample551	979	0.987	80.229	8.195%	17.64	16.144%	0.0131
Sample552	1000	0.991	73.768	7.377%	14.785	13.101%	0.0078
Sample553	984	0.989	72.697	7.388%	16.243	14.928%	0.01
Sample554	1000	0.982	95.567	9.557%	20.933	18.835%	0.0161
Sample555	985	0.97	151.388	15.369%	28.635	24.16%	0.031
Sample556	1020	0.984	100.563	9.859%	20.501	17.671%	0.0137
Sample557	987	0.981	99.713	10.103%	22.021	19.547%	0.015
Sample558	985	0.984	87.441	8.877%	19.712	17.875%	0.0132
Sample559	1000	0.977	128.385	12.838%	23.997	21.371%	0.0197
Sample560	977	0.97	178.743	18.295%	28.455	24.437%	0.0311
Sample561	999	0.884	420.732	42.115%	58.136	46.965%	0.1327
Sample562	1008	0.991	76.18	7.558%	15.042	13.164%	0.0082
Sample563	984	0.982	138.863	14.112%	22.844	18.776%	0.0202
Sample564	979	0.992	71.905	7.345%	14.649	13.179%	0.0073
Sample565	1014	0.974	135.494	13.362%	25.713	22.557%	0.0245
Sample566	1019	0.975	129.428	12.701%	26.18	22.198%	0.0219
Sample567	973	0.983	93.134	9.572%	20.258	18.612%	0.0154
Sample568	969	0.923	259.947	26.826%	43.257	38.763%	0.0793
Sample569	994	0.957	202.824	20.405%	34.938	28.913%	0.0457
Sample570	992	0.982	95.816	9.659%	20.671	18.745%	0.0157
Sample571	985	0.983	76.577	7.774%	20.104	18.23%	0.0155
Sample572	972	0.964	177.595	18.271%	31.62	26.944%	0.0312
