Samples	Signature A
Sample1127	42062
Sample1128	42090
Sample1129	42133
Sample1130	42200
Sample1131	42230
Sample1132	42265
Sample1133	42300
Sample1134	42338
Sample1135	42419
Sample1136	42498
Sample1137	42527
Sample1138	42560
Sample1139	42593
Sample1140	42632
Sample1141	42655
Sample1142	42678
Sample1143	42714
Sample1144	42770
Sample1145	42840
Sample1146	42871
Sample1147	42910
Sample1148	42939
Sample1149	42976
Sample1150	43004
Sample1151	43050
Sample1152	43128
Sample1153	43151
Sample1154	43190
Sample1155	43235
Sample1156	43261
Sample1157	43288
Sample1158	43317
Sample1159	43356
Sample1160	43435
Sample1161	43468
Sample1162	43496
Sample1163	43540
Sample1164	43568
Sample1165	43611
Sample1166	43641
Sample1167	43712
Sample1168	43728
Sample1169	43758
Sample1170	43786
Sample1171	43824
Sample1172	43851
Sample1173	43874
Sample1174	43899
Sample1175	43928
Sample1176	43958
Sample1177	43984
Sample1178	44027
Sample1179	44055
Sample1180	44083
Sample1181	44113
Sample1182	44196
Sample1183	44225
Sample1184	44255
Sample1185	44281
Sample1186	44309
Sample1187	44341
Sample1188	44372
Sample1189	44450
Sample1190	44476
Sample1191	44520
Sample1192	44563
Sample1193	44584
Sample1194	44625
Sample1195	44655
Sample1196	44685
Sample1197	44763
Sample1198	44795
Sample1199	44824
Sample1200	44867
Sample1201	44910
Sample1202	44939
Sample1203	44969
Sample1204	44997
Sample1205	45031
Sample1206	45061
Sample1207	45089
Sample1208	45107
Sample1209	45130
Sample1210	45156
Sample1211	45183
Sample1212	45213
Sample1213	45242
Sample1214	45282
Sample1215	45308
Sample1216	45341
Sample1217	45368
Sample1218	45441
Sample1219	45481
Sample1220	45508
Sample1221	45594
Sample1222	45627
Sample1223	45671
Sample1224	45696
Sample1225	45727
Sample1226	45758
Sample1227	45783
Sample1228	45793
Sample1229	45833
Sample1230	45876
Sample1231	45913
Sample1232	45938
Sample1233	45964
Sample1234	45998
Sample1235	46076
Sample1236	46102
Sample1237	46133
Sample1238	46176
Sample1239	46204
Sample1240	46251
Sample1241	46294
Sample1242	46323
Sample1243	46367
Sample1244	46402
Sample1245	46442
Sample1246	46472
Sample1247	46498
Sample1248	46534
Sample1249	46559
Sample1250	46600
Sample1251	46627
Sample1252	46674
Sample1253	46704
Sample1254	46732
Sample1255	46758
Sample1256	46788
Sample1257	46818
Sample1258	46845
Sample1259	46875
Sample1260	46918
Sample1261	46994
Sample1262	47018
Sample1263	47047
Sample1264	47082
Sample1265	47106
Sample1266	47147
Sample1267	47186
Sample1268	47216
Sample1269	47244
Sample1270	47285
Sample1271	47316
Sample1272	47355
Sample1273	47386
Sample1274	47433
Sample1275	47474
Sample1276	47556
Sample1277	47579
Sample1278	47620
Sample1279	47647
Sample1280	47715
Sample1281	47787
Sample1282	47827
Sample1283	47905
Sample1284	47936
Sample1285	47984
Sample1286	48006
Sample1287	48031
Sample1288	48073
Sample1289	48098
Sample1290	48128
Sample1291	48179
Sample1292	48207
Sample1293	48238
Sample1294	48269
Sample1295	48298
Sample1296	48347
Sample1297	48418
Sample1298	48457
Sample1299	48532
Sample1300	48562
Sample1301	48590
Sample1302	48645
Sample1303	48673
Sample1304	48689
Sample1305	48738
Sample1306	48775
Sample1307	48805
Sample1308	48843
Sample1309	48871
Sample1310	48884
Sample1311	48927
Sample1312	49011
Sample1313	49049
Sample1314	49077
Sample1315	49155
Sample1316	49178
Sample1317	49208
Sample1318	49233
Sample1319	49256
Sample1320	49286
Sample1321	49324
Sample1322	49398
Sample1323	49476
Sample1324	49512
Sample1325	49542
Sample1326	49584
Sample1327	49622
Sample1328	49649
Sample1329	49679
Sample1330	49706
Sample1331	49744
Sample1332	49822
Sample1333	49852
Sample1334	49941
Sample1335	49988
Sample1336	50015
Sample1337	50045
Sample1338	50090
Sample1339	50118
Sample1340	50158
Sample1341	50192
Sample1342	50231
Sample1343	50255
Sample1344	50273
Sample1345	50306
Sample1346	50333
Sample1347	50372
Sample1348	50397
Sample1349	50438
Sample1350	50462
Sample1351	50546
Sample1352	50576
Sample1353	50650
Sample1354	50694
Sample1355	50733
Sample1356	50759
Sample1357	50786
Sample1358	50860
Sample1359	50886
Sample1360	50912
Sample1361	50955
Sample1362	50994
Sample1363	51032
Sample1364	51058
Sample1365	51095
Sample1366	51127
Sample1367	51159
Sample1368	51189
Sample1369	51270
Sample1370	51297
Sample1371	51326
Sample1372	51352
Sample1373	51390
Sample1374	51417
Sample1375	51445
Sample1376	51470
Sample1377	51499
Sample1378	51524
Sample1379	51549
Sample1380	51600
Sample1381	51646
Sample1382	51675
Sample1383	51715
Sample1384	51753
Sample1385	51793
Sample1386	51823
Sample1387	51852
Sample1388	51881
Sample1389	51910
Sample1390	51955
Sample1391	51988
Sample1392	52028
Sample1393	52072
Sample1394	52098
Sample1395	52130
Sample1396	52159
Sample1397	52186
Sample1398	52210
Sample1399	52239
Sample1400	52267
Sample1401	52296
