Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample262	9250	1.0	169.699	1.835%	24.818	1.387%	0.0008
Sample263	9289	1.0	178.112	1.917%	26.962	1.5%	0.0008
Sample264	9319	1.0	177.559	1.905%	26.552	1.472%	0.0008
Sample265	9394	1.0	167.9	1.787%	25.078	1.38%	0.0008
Sample266	9420	1.0	171.557	1.821%	25.403	1.394%	0.0008
Sample267	9449	1.0	172.03	1.821%	25.712	1.406%	0.0008
Sample268	9474	1.0	172.115	1.817%	25.438	1.387%	0.0008
Sample269	9528	1.0	167.949	1.763%	25.042	1.36%	0.0008
Sample270	9704	1.0	181.197	1.867%	25.43	1.367%	0.0009
Sample271	9735	1.0	175.652	1.804%	24.398	1.308%	0.0008
Sample272	9803	1.0	163.188	1.665%	22.977	1.224%	0.0008
Sample273	9846	1.0	171.745	1.744%	24.688	1.309%	0.0008
Sample274	9875	1.0	166.462	1.686%	23.882	1.263%	0.0008
Sample275	9908	1.0	167.539	1.691%	24.132	1.272%	0.0008
Sample276	9937	1.0	171.035	1.721%	24.48	1.286%	0.0008
Sample277	9962	1.0	169.773	1.704%	24.13	1.264%	0.0008
Sample278	9990	1.0	170.804	1.71%	24.152	1.261%	0.0008
Sample279	10025	1.0	168.989	1.686%	23.788	1.238%	0.0008
Sample280	10049	1.0	169.509	1.687%	23.97	1.244%	0.0008
Sample281	10079	1.0	166.478	1.652%	23.586	1.22%	0.0008
Sample282	10117	1.0	173.237	1.712%	24.761	1.276%	0.0008
Sample283	10143	1.0	170.021	1.676%	24.384	1.253%	0.0008
Sample284	10183	1.0	183.216	1.799%	26.403	1.35%	0.0008
Sample285	10224	1.0	178.03	1.741%	25.193	1.284%	0.0008
Sample286	10300	1.0	167.168	1.623%	24.455	1.239%	0.0007
Sample287	10330	1.0	165.449	1.602%	23.949	1.209%	0.0007
Sample288	10370	1.0	165.414	1.595%	24.11	1.213%	0.0007
Sample289	10403	1.0	166.314	1.599%	24.014	1.204%	0.0007
Sample290	10439	1.0	179.212	1.717%	26.145	1.306%	0.0007
