Samples	SBS1	SBS3	SBS5	Signature D
Sample1014	21	288	672	0
Sample1015	35	487	478	0
Sample1016	34	520	460	0
Sample1017	19	0	512	487
Sample1018	39	580	381	0
Sample1019	31	453	484	0
Sample1020	37	533	438	0
Sample1021	0	273	371	364
Sample1022	38	520	428	0
Sample1023	38	449	485	0
Sample1024	0	294	404	318
Sample1025	34	467	499	0
Sample1026	30	665	340	0
Sample1027	39	602	367	0
Sample1028	0	362	363	294
Sample1029	22	339	619	0
Sample1030	40	564	381	0
Sample1031	38	449	485	0
Sample1032	0	301	450	261
Sample1033	0	316	365	324
Sample1034	34	517	470	0
Sample1035	55	718	0	212
Sample1036	21	301	657	0
Sample1037	27	387	615	0
Sample1038	0	258	328	422
Sample1039	32	639	337	0
Sample1040	55	669	0	284
Sample1041	41	463	482	0
Sample1042	42	545	401	0
Sample1043	38	449	485	0
Sample1044	0	361	434	199
Sample1045	40	531	418	0
Sample1046	37	545	445	0
Sample1047	35	458	526	0
Sample1048	40	555	385	0
Sample1049	42	634	302	0
Sample1050	54	678	0	253
Sample1051	27	349	597	0
Sample1052	23	300	656	0
Sample1053	40	595	357	0
Sample1054	0	384	446	185
Sample1055	28	432	576	0
Sample1056	39	576	393	0
Sample1057	38	538	416	0
Sample1058	22	301	649	0
Sample1059	0	476	0	542
Sample1060	0	249	328	428
Sample1061	48	598	0	341
Sample1062	46	556	0	385
