Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample62	986	0.884	420.427	42.64%	56.569	48.04%	0.1666
Sample63	981	0.876	439.452	44.796%	55.337	50.776%	0.1792
Sample64	981	0.892	427.583	43.586%	55.279	46.274%	0.1531
Sample65	987	0.868	461.459	46.754%	60.613	51.472%	0.1786
Sample66	1015	0.884	430.058	42.37%	56.591	49.284%	0.1866
Sample67	990	0.881	429.851	43.419%	55.301	50.006%	0.1729
Sample68	980	0.855	507.848	51.821%	67.632	55.232%	0.2053
Sample69	980	0.876	439.513	44.848%	56.158	51.019%	0.1975
Sample70	992	0.889	430.95	43.443%	54.13	48.086%	0.1648
Sample71	1014	0.868	432.282	42.631%	59.478	52.178%	0.1833
Sample72	967	0.853	451.777	46.719%	61.668	54.005%	0.1828
Sample73	1008	0.87	450.474	44.69%	59.153	51.517%	0.1752
Sample74	985	0.881	411.959	41.823%	55.151	49.75%	0.1715
Sample75	1014	0.879	432.243	42.628%	57.481	49.936%	0.1711
Sample76	985	0.889	407.666	41.387%	52.984	48.301%	0.1612
Sample77	1014	0.869	486.758	48.004%	63.917	50.209%	0.1736
Sample78	984	0.893	415.231	42.198%	53.357	46.877%	0.1601
Sample79	978	0.871	458.801	46.912%	59.763	50.408%	0.1833
Sample80	972	0.89	413.905	42.583%	52.526	48.034%	0.1659
Sample81	1025	0.888	422.173	41.188%	56.821	47.793%	0.1577
Sample82	984	0.9	396.034	40.247%	50.114	46.056%	0.1555
Sample83	1016	0.888	447.685	44.063%	57.297	47.675%	0.1666
Sample84	1034	0.898	421.49	40.763%	54.748	45.973%	0.1569
Sample85	985	0.868	493.161	50.067%	64.86	52.634%	0.2019
Sample86	1015	0.896	424.651	41.838%	53.878	46.4%	0.1594
Sample87	978	0.862	454.374	46.46%	58.908	53.034%	0.1902
Sample88	1023	0.871	458.715	44.84%	61.093	51.201%	0.1777
Sample89	1014	0.877	448.661	44.247%	57.49	50.434%	0.1704
Sample90	1000	0.875	433.704	43.37%	57.624	50.555%	0.1701
Sample91	1026	0.896	421.991	41.13%	55.101	47.294%	0.1753
Sample92	1008	0.886	409.469	40.622%	55.194	48.785%	0.1642
Sample93	1008	0.888	419.694	41.636%	54.493	48.408%	0.1616
Sample94	1029	0.89	430.407	41.828%	56.2	47.691%	0.1575
Sample95	992	0.867	447.107	45.071%	58.678	52.126%	0.1832
Sample96	980	0.863	435.117	44.4%	58.464	53.114%	0.187
Sample97	1000	0.87	451.806	45.181%	59.106	52.113%	0.1936
Sample98	1018	0.909	396.288	38.928%	53.125	43.936%	0.1421
Sample99	973	0.824	531.563	54.631%	70.038	58.21%	0.2136
Sample100	992	0.866	450.037	45.367%	58.965	52.647%	0.1833
Sample101	1000	0.882	429.525	42.952%	55.295	49.753%	0.1712
Sample102	967	0.886	434.474	44.93%	55.044	47.767%	0.1662
Sample103	985	0.885	408.988	41.522%	53.905	49.141%	0.168
Sample104	992	0.863	463.556	46.729%	59.456	53.086%	0.1862
Sample105	985	0.897	420.566	42.697%	53.751	45.857%	0.1581
Sample106	1008	0.872	441.637	43.813%	58.796	51.206%	0.1786
Sample107	1014	0.875	435.308	42.93%	58.249	50.85%	0.1697
Sample108	1000	0.881	436.437	43.644%	57.021	49.781%	0.1876
Sample109	980	0.882	425.905	43.46%	54.982	49.399%	0.1708
Sample110	1001	0.885	452.935	45.248%	57.696	47.827%	0.1694
Sample111	1013	0.941	326.663	32.247%	44.242	35.62%	0.1055
Sample112	1008	0.888	413.523	41.024%	54.836	48.228%	0.1592
Sample113	972	0.89	413.905	42.583%	52.526	48.034%	0.1659
Sample114	968	0.884	419.139	43.299%	54.487	48.262%	0.1712
Sample115	1021	0.902	397.37	38.92%	51.966	45.488%	0.1452
Sample116	1008	0.856	463.232	45.956%	62.054	54.308%	0.1917
Sample117	1008	0.872	441.637	43.813%	58.796	51.206%	0.1786
Sample118	1015	0.881	454.249	44.754%	56.41	49.611%	0.1683
Sample119	1008	0.933	362.418	35.954%	49.278	39.515%	0.1186
Sample120	985	0.868	432.269	43.885%	57.732	52.078%	0.1801
Sample121	992	0.868	446.626	45.023%	58.671	51.858%	0.1779
Sample122	1019	0.892	418.092	41.03%	54.665	47.2%	0.1617
Sample123	1025	0.885	425.176	41.481%	55.451	49.468%	0.1679
Sample124	967	0.883	437.698	45.263%	56.707	48.344%	0.1725
Sample125	968	0.894	410.182	42.374%	52.756	46.295%	0.162
Sample126	1015	0.893	439.003	43.252%	56.043	48.037%	0.169
Sample127	960	0.891	396.193	41.27%	49.898	50.927%	0.1947
Sample128	1018	0.883	431.3	42.367%	56.149	49.219%	0.1664
Sample129	972	0.872	436.198	44.876%	56.283	51.469%	0.1816
Sample130	980	0.862	450.645	45.984%	58.534	53.178%	0.1879
Sample131	985	0.881	417.161	42.351%	54.877	50.027%	0.1688
Sample132	980	0.885	418.841	42.739%	54.31	49.34%	0.1838
Sample133	1008	0.877	439.09	43.561%	57.467	50.294%	0.1735
Sample134	989	0.868	450.302	45.531%	58.397	52.567%	0.2008
Sample135	1015	0.869	451.974	44.529%	59.705	51.996%	0.1792
Sample136	1008	0.883	437.047	43.358%	56.18	49.41%	0.169
Sample137	988	0.867	450.607	45.608%	58.413	52.347%	0.1843
Sample138	984	0.874	454.78	46.217%	60.182	49.651%	0.1756
Sample139	1015	0.884	440.693	43.418%	56.199	48.943%	0.1724
Sample140	1008	0.944	324.424	32.185%	42.789	35.393%	0.1043
Sample141	989	0.875	445.949	45.091%	56.936	51.252%	0.194
Sample142	996	0.941	333.723	33.506%	43.95	35.828%	0.1082
Sample143	981	0.851	459.478	46.838%	61.212	55.209%	0.1983
Sample144	985	0.878	453.047	45.995%	59.617	48.653%	0.1725
Sample145	968	0.891	416.712	43.049%	53.633	46.689%	0.1626
Sample146	1014	0.865	470.1	46.361%	61.206	52.204%	0.1791
