Samples	Signature A	Signature B	Signature C
Sample1435	9.51E+01	6.26E+02	5.69E+02
Sample1436	1.12E+02	5.90E+02	5.76E+02
Sample1437	8.31E+01	5.57E+02	5.20E+02
Sample1438	5.20E+01	6.45E+02	6.27E+02
Sample1439	8.58E+01	4.64E+02	4.14E+02
Sample1440	7.80E+01	5.66E+02	5.26E+02
Sample1441	8.10E+01	5.43E+02	4.84E+02
Sample1442	1.09E+02	3.56E+02	3.85E+02
Sample1443	9.06E+01	9.37E+02	8.77E+02
Sample1444	1.15E+02	4.30E+02	3.84E+02
Sample1445	8.49E+01	9.07E+02	8.45E+02
Sample1446	1.07E+02	6.18E+02	5.74E+02
Sample1447	9.61E+01	4.39E+02	4.31E+02
Sample1448	6.42E+01	4.75E+02	4.31E+02
Sample1449	9.39E+01	4.32E+02	3.70E+02
Sample1450	6.77E+01	4.35E+02	3.95E+02
Sample1451	6.00E+01	4.93E+02	5.09E+02
Sample1452	1.14E+02	3.93E+02	3.47E+02
Sample1453	6.28E+01	6.16E+02	5.74E+02
Sample1454	7.18E+01	4.78E+02	4.63E+02
Sample1455	8.54E+01	6.17E+02	5.86E+02
Sample1456	9.15E+01	5.51E+02	5.07E+02
Sample1457	8.95E+01	4.80E+02	4.65E+02
Sample1458	8.29E+01	6.18E+02	5.78E+02
Sample1459	8.18E+01	6.12E+02	5.60E+02
Sample1460	6.06E+01	4.88E+02	4.46E+02
Sample1461	1.12E+02	6.43E+02	5.76E+02
Sample1462	7.48E+01	6.22E+02	5.75E+02
Sample1463	7.72E+01	9.04E+02	8.65E+02
Sample1464	8.16E+01	6.13E+02	5.71E+02
Sample1465	5.99E+01	4.37E+02	4.54E+02
Sample1466	5.11E+01	3.26E+02	3.21E+02
Sample1467	1.04E+02	7.52E+02	6.80E+02
Sample1468	1.02E+02	6.03E+02	5.68E+02
Sample1469	1.01E+02	7.65E+02	6.92E+02
Sample1470	6.80E+01	5.67E+02	5.18E+02
Sample1471	7.09E+01	5.70E+02	5.19E+02
Sample1472	6.94E+01	6.27E+02	5.83E+02
Sample1473	1.20E+02	4.70E+02	4.05E+02
Sample1474	1.08E+02	6.86E+02	6.57E+02
Sample1475	8.42E+01	6.21E+02	6.82E+02
Sample1476	7.72E+01	4.26E+02	4.19E+02
Sample1477	9.01E+01	4.84E+02	5.08E+02
Sample1478	1.13E+02	6.98E+02	6.08E+02
Sample1479	6.96E+01	4.86E+02	5.25E+02
Sample1480	4.62E+01	4.99E+02	4.69E+02
Sample1481	9.08E+01	6.56E+02	6.20E+02
Sample1482	9.89E+01	6.20E+02	5.85E+02
Sample1483	5.94E+01	4.73E+02	4.38E+02
Sample1484	8.12E+01	6.90E+02	6.64E+02
Sample1485	7.18E+01	4.57E+02	4.87E+02
Sample1486	1.05E+02	7.82E+02	7.13E+02
Sample1487	9.01E+01	6.09E+02	5.84E+02
Sample1488	9.03E+01	3.84E+02	3.55E+02
Sample1489	1.01E+02	6.90E+02	6.52E+02
Sample1490	7.48E+01	3.08E+02	2.89E+02
Sample1491	9.25E+01	5.87E+02	5.36E+02
Sample1492	1.13E+02	6.70E+02	6.02E+02
Sample1493	1.12E+02	8.25E+02	7.99E+02
Sample1494	8.97E+01	3.96E+02	3.32E+02
