Samples	Signature A	Signature B	Signature C	Signature D	Signature E
Sample291	4.30E+01	3.35E+01	2.67E+01	5.31E+01	8.21E+00
Sample292	2.38E+01	1.73E+01	1.93E+01	2.04E+01	8.83E+00
Sample293	2.98E+01	1.93E+01	3.31E+01	6.04E+01	3.11E+01
Sample294	2.95E+01	1.03E+01	2.11E+01	1.05E+01	6.82E+00
Sample295	1.69E+01	1.41E+01	2.16E+01	3.00E+01	7.42E+00
Sample296	2.48E+01	1.47E+01	1.69E+01	3.15E+01	1.39E+01
Sample297	1.93E+01	1.18E+01	1.97E+01	1.76E+01	1.24E+01
Sample298	2.06E+01	3.83E+01	3.40E+01	4.04E+01	1.81E+01
Sample299	1.89E+01	1.62E+01	2.44E+01	1.34E+01	1.27E+01
Sample300	2.79E+01	2.79E+01	2.12E+01	4.72E+01	2.09E+01
Sample301	3.04E+01	2.74E+01	2.18E+01	2.07E+01	9.51E+00
Sample302	1.78E+01	1.85E+01	3.05E+01	9.50E+00	7.47E+00
Sample303	1.72E+01	1.76E+01	2.51E+01	9.59E+00	9.99E+00
Sample304	2.18E+01	1.59E+01	2.25E+01	3.09E+01	1.81E+01
Sample305	3.49E+01	2.13E+01	2.85E+01	3.98E+01	9.55E+00
Sample306	3.29E+01	2.75E+01	1.93E+01	2.46E+01	8.22E+00
Sample307	1.45E+01	2.20E+01	1.78E+01	1.51E+01	1.89E+01
Sample308	1.41E+01	1.91E+01	2.30E+01	1.24E+01	5.57E+00
Sample309	1.28E+01	2.85E+01	1.89E+01	2.82E+01	1.68E+01
Sample310	2.10E+01	2.31E+01	2.46E+01	1.96E+01	9.16E+00
Sample311	9.52E+00	2.08E+01	2.93E+01	1.89E+01	1.21E+01
Sample312	2.15E+01	1.83E+01	1.33E+01	3.48E+01	1.57E+01
Sample313	2.01E+01	2.62E+01	3.27E+01	5.63E+01	6.09E+00
Sample314	1.87E+01	1.44E+01	2.38E+01	3.88E+01	1.62E+01
Sample315	1.75E+01	2.19E+01	1.90E+01	1.40E+01	1.29E+01
Sample316	1.70E+01	1.82E+01	1.61E+01	2.49E+01	1.18E+01
Sample317	2.09E+01	1.54E+01	2.81E+01	7.11E+00	9.61E+00
Sample318	2.10E+01	2.03E+01	2.75E+01	3.62E+01	1.57E+01
Sample319	8.06E+00	1.20E+01	1.60E+01	1.11E+01	1.65E+01
Sample320	2.10E+01	1.60E+01	1.62E+01	5.50E+01	2.28E+01
Sample321	1.20E+01	1.40E+01	2.65E+01	2.10E+01	1.23E+01
Sample322	3.58E+01	2.97E+01	2.71E+01	4.40E+01	1.04E+01
Sample323	1.24E+01	1.06E+01	2.09E+01	1.77E+01	4.79E+00
Sample324	3.72E+01	3.08E+01	2.89E+01	3.55E+01	8.03E+00
Sample325	1.53E+01	2.36E+01	2.18E+01	2.22E+01	7.42E+00
Sample326	2.37E+01	1.92E+01	2.47E+01	1.47E+01	6.67E+00
Sample327	1.30E+01	1.88E+01	2.55E+01	2.71E+01	1.31E+01
Sample328	4.18E+01	2.87E+01	1.70E+01	4.60E+01	1.25E+01
Sample329	2.93E+01	2.72E+01	1.09E+01	6.27E+01	2.26E+01
Sample330	1.82E+01	1.14E+01	2.43E+01	2.53E+01	8.81E+00
Sample331	1.57E+01	2.34E+01	1.39E+01	2.36E+01	9.46E+00
Sample332	2.12E+01	1.64E+01	2.30E+01	4.27E+01	1.72E+01
Sample333	3.36E+01	2.45E+01	2.68E+01	4.18E+01	1.10E+01
Sample334	1.84E+01	2.05E+01	1.75E+01	1.44E+01	9.03E+00
Sample335	3.40E+01	2.94E+01	1.32E+01	4.79E+01	8.90E+00
Sample336	2.43E+01	1.61E+01	2.39E+01	5.92E+01	2.92E+01
Sample337	2.54E+01	2.00E+01	2.48E+01	1.46E+01	1.19E+01
Sample338	1.41E+01	2.01E+01	2.35E+01	3.10E+01	8.30E+00
Sample339	2.65E+01	1.82E+01	1.62E+01	2.76E+01	1.26E+01
Sample340	1.84E+01	1.52E+01	2.14E+01	1.47E+01	7.67E+00
Sample341	1.82E+01	2.23E+01	2.75E+01	2.53E+01	8.70E+00
Sample342	2.31E+01	1.80E+01	1.60E+01	2.36E+01	2.36E+01
Sample343	1.25E+01	3.42E+01	2.42E+01	2.17E+01	1.47E+01
Sample344	2.28E+01	1.55E+01	1.78E+01	1.75E+01	9.68E+00
Sample345	4.57E+01	2.36E+01	2.02E+01	3.18E+01	1.14E+01
Sample346	4.85E+01	2.34E+01	2.31E+01	5.23E+01	1.21E+01
